City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Us,49.1009451,1.9672466,-0.84,100,34,1.03,FR,1741056538
Uz,42.9663688,-0.0852324,4.81,85,97,3.23,FR,1741056539
City of Osh,40.5361899,72.8033618,-5.55,68,16,3.0,KG,1741056540
Юськи,56.6603081,53.0802328,-6.8,96,100,3.77,RU,1741056541
Geva,32.5663362,35.3715486,12.8,56,100,1.94,IL,1741056543
Politische Expositur Gröbming,47.393793,13.822069153231173,-2.83,72,35,1.27,AT,1741056544
Innermedøya,66.8789958,13.44650821244402,2.23,62,94,4.45,NO,1741056546
Ip,47.2293212,22.6062036,1.18,78,8,0.93,RO,1741056547
Indre Marka,65.8408278,13.2861139,-0.22,86,75,1.03,NO,1741056548
Indre Borgfjord,68.2565387,13.845151,-0.56,88,100,2.22,NO,1741056549
Indre Ånnstad,68.5260475,14.7003378,0.95,93,75,1.03,NO,1741056550
Companhia,-22.1822689,-44.68776,14.68,94,1,1.59,BR,1741056552
Ca',45.5922165,9.8224461,5.29,82,0,3.09,IT,1741056553
California,25.20307245,55.143678721928595,18.02,53,32,6.14,AE,1741056555
Lauw,47.7563917,7.0194428,-1.27,80,55,1.7,FR,1741056556
Au,47.9552898,7.8296094,1.47,87,7,0.45,DE,1741056558
Gemeinde Au,47.3072534,9.947124642323741,-2.56,78,100,2.1,AT,1741056559
Postau,48.648269,12.3266523,0.57,73,100,1.48,DE,1741056560
Schönberg/Schoenberg,46.8101241,7.171828,-0.64,37,47,1.17,CH,1741056562
Fr,1.4430747,31.1391629,22.06,56,65,1.31,UG,1741056563
فر,34.0447593,49.3162452,0.5,49,100,2.13,IR,1741056564
Far,23.8103185,38.8748347,22.19,58,70,1.53,SA,1741056565
Daix,47.3521149,5.0008333,0.08,80,0,2.57,FR,1741056567
Deh,14.7788595,-3.2589333,27.24,18,4,4.0,ML,1741056568
De,5.2628186,96.1157978,28.76,72,56,1.54,ID,1741056569
Alvaneu Dorf,46.6787359,9.6470009,-7.75,60,89,2.84,CH,1741056571
Chun,19.3091175,100.1647501,31.17,21,8,0.74,TH,1741056572
Chanthaburi,12.6089225,102.1119839,31.01,60,99,2.29,TH,1741056573
Rovello Porro,45.6512477,9.0403365,5.19,77,2,1.34,IT,1741056575
Комарово,56.4884,58.847012,-20.17,100,100,0.86,RU,1741056576
Ru,45.2776655,7.4136357,0.67,72,87,3.25,IT,1741056578
Bar,42.0979745,19.0954528,7.24,61,0,1.84,ME,1741056579
Brae,60.3963461,-1.3536585,7.87,87,100,10.55,GB,1741056580
Bridge,51.2455894,1.1252825,1.42,68,5,0.09,GB,1741056581
Bairro,41.3720838,-8.4261843,11.47,90,100,2.11,PT,1741056583
Mexico,25.20193915,55.15419672678571,18.02,51,37,6.02,AE,1741056584
Arkońskie-Niemierzyn,53.4553042,14.5298919,2.92,87,100,3.13,PL,1741056586
Za,6.7153722,-6.4346787,24.11,90,70,1.78,CI,1741056587
`Uza,13.4623263,44.4670158,17.72,93,0,1.1,YE,1741056588
Tokyo,35.6768601,139.7638947,4.89,59,75,6.69,JP,1741056589
Abashiri,44.0206027,144.2732035,-3.83,68,75,1.54,JP,1741056591
JP Nagar,12.9096941,77.5866067,23.34,68,20,0.0,IN,1741056592
JP Walkers Addition,40.494239500000006,-88.98243589430712,7.76,54,0,8.23,US,1741056593
ng,-3.3669467500000003,36.67738947024446,16.32,88,8,0.85,TZ,1741056595
Eigg,56.907925399999996,-6.160063788529316,8.08,91,100,14.07,GB,1741056597
Eg,56.1787643,10.4249793,6.03,87,20,4.63,DK,1741056598
Junction City,33.021446100000006,-92.72446250787544,11.81,73,100,3.79,US,1741056599
Harre,50.3514715,5.6585312,4.38,54,100,0.89,BE,1741056600
Blue Eye,36.496931,-93.3973273,13.07,71,100,6.07,US,1741056602
Yar,58.2442424,52.1079326,-5.28,95,100,4.16,RU,1741056603
Яр,58.2492407,52.1445425,-5.24,96,100,4.06,RU,1741056604
Narman,40.3452003,41.871138,-8.47,98,99,0.81,TR,1741056606
Id,57.4492969,14.4356269,3.5,84,100,8.06,SE,1741056607
Zone 4,16.4602662,120.587697,26.19,48,8,2.44,PH,1741056608
Torre,39.9634843,-6.9406539,9.97,91,95,2.0,PT,1741056609
Turru,12.9716343,24.1413032,20.36,24,7,1.8,SD,1741056611
`Atra,14.4556,33.498,23.4,16,41,4.5,SD,1741056612
Shah Alam,3.0733644,101.5195149,32.91,71,100,0.64,MY,1741056613
Sa',24.11958635,55.964680498209034,14.81,21,25,3.29,AE,1741056615
Sur,22.5694263,59.5297203,21.12,48,0,6.01,OM,1741056616
Sa,42.837524,-7.4793137,6.81,100,18,1.18,ES,1741056617
Park,39.112507,-100.358747,13.67,45,66,9.73,US,1741056619
Pike,5.4783328,153.4707857,28.36,75,80,5.62,FM,1741056620
Kur,38.0129678,46.7718772,-3.87,67,100,1.7,IR,1741056621
Kurrah,13.282575,24.497094,17.41,24,7,0.96,SD,1741056623
`Akir,16.561853,43.923128,12.94,51,28,2.98,YE,1741056624
Kurru,12.5,25.25,21.38,12,3,4.88,SD,1741056625
Kara,11.6701,29.5514,22.09,12,2,3.99,SD,1741056626
It,45.6628887,10.118138,5.0,70,14,1.67,IT,1741056628
Hèches,43.0174862,0.3737441,5.78,87,100,1.8,FR,1741056629
Eš,49.4345962,15.0012956,-1.49,80,100,0.63,CZ,1741056631
Esch,51.6117634,5.2915143,-2.93,100,100,0.51,NL,1741056632
